SampleID	NumberID	Cohort	CohortLab	DietGroup	DietGroupLab	Type	TypeLab	Diet.Type	Sex	SexLab	Diet.Sex	Mouse	Project	MTB_Metabolon_source_file_name	MTB_SAMPLENAME	MTB_CLIENTIDENTIFIER	MTB_PARENTSAMPLEID	MTB_SAMPLENUMBER	MTB_GROUP	MTB_GROUPNUMBER	MTB_GROUPNAME2	MTB_TREATMENT	MTB_COLLECTIONSITE	MTB_COLONLOCATION	MTB_COMMENT	MTB_DIET	MTB_GENDER	MTB_INOCULUM	MTB_NORMALIZATION	MTB_NORMALIZE	MTB_VOLUMEEXTRACTEDUL	MTB_MASSEXTRACTED	MTB_RUNDAY	MTB_SAMPLEAMOUNT	MTB_SAMPLINGSITE	MTB_SUBJECTORANIMALID	MTB_TIMEPOINT	MTB_TXXDIET
AOMFRB11_Meta_CO_P	47	AOM_DSS	A	Fermented_rice_bran	F	colon_Proximal	P	F.P	Male	M	F.M	AOMFRB11	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01081	AOMFRB11 Meta CO_P	4652161	62	Cancer (AOM) Fermented Rice Bran diet	11	not_applicable	AOM_DSS	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	AOMFRB11	END OF STUDY	DSS_F_RiceBran
AOMC4_Meta_CO_D	48	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC4	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01042	AOMC4 Meta CO_D	4652122	23	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMC4	END OF STUDY	DSS_Control
AOMC5_Meta_CO_D	49	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC5	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01043	AOMC5 Meta CO_D	4652123	24	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMC5	END OF STUDY	DSS_Control
AOMC6_Meta_CO_D	50	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC6	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01044	AOMC6 Meta CO_D	4652124	25	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMC6	END OF STUDY	DSS_Control
AOMC7_Meta_CO_D	51	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC7	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01045	AOMC7 Meta CO_D	4652125	26	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMC7	END OF STUDY	DSS_Control
AOMC8_Meta_CO_D	52	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC8 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01046	AOMC8 Meta CO_D	4652126	27	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMC8 	END OF STUDY	DSS_Control
AOMC9_Meta_CO_D	53	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC9 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01047	AOMC9 Meta CO_D	4652127	28	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMC9 	END OF STUDY	DSS_Control
AOMC10_Meta_CO_D	54	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC10	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01048	AOMC10 Meta CO_D	4652128	29	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMC10	END OF STUDY	DSS_Control
AOMC11_Meta_CO_D	55	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC11	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01049	AOMC11 Meta CO_D	4652129	30	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMC11	END OF STUDY	DSS_Control
AOMC12_Meta_CO_D	56	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC12	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01050	AOMC12 Meta CO_D	4652130	31	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMC12	END OF STUDY	DSS_Control
AOMC13_Meta_CO_D	57	AOM_DSS	A	Control	C	colon_Distal	D	C.D	Male	M	C.M	AOMC13	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01051	AOMC13 Meta CO_D	4652131	32	Cancer (AOM) Control diet	8	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMC13	END OF STUDY	DSS_Control
AOMRB6_Meta_CO_D	58	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB6	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01062	AOMRB6 Meta CO_D	4652142	43	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMRB6	END OF STUDY	DSS_RiceBran
AOMRB7_Meta_CO_D	59	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB7	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01063	AOMRB7 Meta CO_D	4652143	44	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMRB7	END OF STUDY	DSS_RiceBran
AOMRB8_Meta_CO_D	60	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB8	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01064	AOMRB8 Meta CO_D	4652144	45	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMRB8	END OF STUDY	DSS_RiceBran
AOMRB9_Meta_CO_D	61	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB9	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01065	AOMRB9 Meta CO_D	4652145	46	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMRB9	END OF STUDY	DSS_RiceBran
AOMRB10_Meta_CO_D	62	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB10	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01066	AOMRB10 Meta CO_D	4652146	47	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMRB10	END OF STUDY	DSS_RiceBran
AOMRB11_Meta_CO_D	63	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB11	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01067	AOMRB11 Meta CO_D	4652147	48	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMRB11	END OF STUDY	DSS_RiceBran
AOMRB12_Meta_CO_D	64	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB12	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01068	AOMRB12 Meta CO_D	4652148	49	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMRB12	END OF STUDY	DSS_RiceBran
AOMRB13_Meta_CO_D	65	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB13 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01069	AOMRB13 Meta CO_D	4652149	50	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMRB13 	END OF STUDY	DSS_RiceBran
AOMRB14_Meta_CO_D	66	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB14	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01070	AOMRB14 Meta CO_D	4652150	51	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMRB14	END OF STUDY	DSS_RiceBran
AOMRB15_Meta_CO_D	67	AOM_DSS	A	Rice_bran	R	colon_Distal	D	R.D	Male	M	R.M	AOMRB15	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01071	AOMRB15 Meta CO_D	4652151	52	Cancer (AOM) Rice Bran diet	10	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMRB15	END OF STUDY	DSS_RiceBran
AOMFRB2_Meta_CO_D	68	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB2	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01082	AOMFRB2 Meta CO_D	4652162	63	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	0.75	not_applicable	4.5	1	greater than 200mgs	2	AOMFRB2	END OF STUDY	DSS_F_RiceBran
AOMFRB3_Meta_CO_D	69	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB3	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01083	AOMFRB3 Meta CO_D	4652163	64	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	0.85	not_applicable	5.1	2	greater than 200mgs	2	AOMFRB3	END OF STUDY	DSS_F_RiceBran
AOMFRB4_Meta_CO_D	70	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB4	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01084	AOMFRB4 Meta CO_D	4652164	65	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMFRB4	END OF STUDY	DSS_F_RiceBran
AOMFRB5_Meta_CO_D	71	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB5	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01085	AOMFRB5 Meta CO_D	4652165	66	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMFRB5	END OF STUDY	DSS_F_RiceBran
AOMFRB6_Meta_CO_D	72	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB6	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01086	AOMFRB6 Meta CO_D	4652166	67	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	0.6333	not_applicable	3.8	1	greater than 200mgs	2	AOMFRB6	END OF STUDY	DSS_F_RiceBran
AOMFRB7_Meta_CO_D	73	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB7	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01087	AOMFRB7 Meta CO_D	4652167	68	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMFRB7	END OF STUDY	DSS_F_RiceBran
AOMFRB8_Meta_CO_D	74	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB8	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01088	AOMFRB8 Meta CO_D	4652168	69	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMFRB8	END OF STUDY	DSS_F_RiceBran
AOMFRB9_Meta_CO_D	75	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB9	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01089	AOMFRB9 Meta CO_D	4652169	70	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMFRB9	END OF STUDY	DSS_F_RiceBran
AOMFRB10_Meta_CO_D	76	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB10	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01090	AOMFRB10 Meta CO_D	4652170	71	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	AOMFRB10	END OF STUDY	DSS_F_RiceBran
AOMFRB11_Meta_CO_D	77	AOM_DSS	A	Fermented_rice_bran	F	colon_Distal	D	F.D	Male	M	F.M	AOMFRB11	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01091	AOMFRB11 Meta CO_D	4652171	72	Cancer (AOM) Fermented Rice Bran diet	12	not_applicable	AOM_DSS	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	AOMFRB11	END OF STUDY	DSS_F_RiceBran
AOMC_16	78	AOM_DSS	A	Control	C	Blood_plasma	B	C.B	Male	M	C.M	AOMC 16	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01201	AOMC 16	4703745	7	Cancer Control diet	4	AOM_DSS_Control	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	AOMC 16	end of study	not_applicable
AOMC_17	79	AOM_DSS	A	Control	C	Blood_plasma	B	C.B	Male	M	C.M	AOMC 17	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01202	AOMC 17	4703746	8	Cancer Control diet	4	AOM_DSS_Control	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	AOMC 17	end of study	not_applicable
AOMC_18	80	AOM_DSS	A	Control	C	Blood_plasma	B	C.B	Male	M	C.M	AOMC 18	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01203	AOMC 18	4703747	9	Cancer Control diet	4	AOM_DSS_Control	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	AOMC 18	end of study	not_applicable
AOMC_19	81	AOM_DSS	A	Control	C	Blood_plasma	B	C.B	Male	M	C.M	AOMC 19	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01204	AOMC 19	4703748	10	Cancer Control diet	4	AOM_DSS_Control	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	AOMC 19	end of study	not_applicable
RB_2	82	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 2	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01205	RB 2	4703749	11	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 2	end of study	not_applicable
RB_3	83	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 3	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01206	RB 3	4703750	12	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 3	end of study	not_applicable
RB_4	84	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 4	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01207	RB 4	4703751	13	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 4	end of study	not_applicable
RB_14	85	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 14	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01208	RB 14	4703752	14	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 14	end of study	not_applicable
RB_15	86	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 15	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01209	RB 15	4703753	15	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 15	end of study	not_applicable
RB_16	87	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 16	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01210	RB 16	4703754	16	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 16	end of study	not_applicable
RB_17	88	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 17	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01211	RB 17	4703755	17	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 17	end of study	not_applicable
RB_18	89	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 18	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01212	RB 18	4703756	18	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 18	end of study	not_applicable
RB_19	90	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 19	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01213	RB 19	4703757	19	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 19	end of study	not_applicable
RB_20	91	AOM_DSS	A	Rice_bran	R	Blood_plasma	B	R.B	Male	M	R.M	RB 20	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01214	RB 20	4703758	20	Cancer Rice bran diet	5	AOM_DSS_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	RB 20	end of study	not_applicable
FRB_2	92	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 2	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01215	FRB 2	4703759	21	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 2	end of study	not_applicable
FRB_3	93	AOM_DSS	A	Fermented_rice_bran	F	Blood_plasma	B	F.B	Male	M	F.M	FRB 3	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0108-17VWBL+ Client Data Tables and Stats Plasma 12-28-17.xlsx	COSU-01216	FRB 3	4703760	22	Cancer fermented rice bran diet	6	AOM_DSS_F_RiceBran	AOM_DSS	not_applicable	not_applicable	K2 EDTA Whole Blood	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	greater than 2 mL	not_applicable	FRB 3	end of study	not_applicable
